mer,mod,var,gir,har,jbb,jt,js,km,kk,ssbb,ten,tor
honda,civic-hatchback,s-cvt,Variable Speed,"Rp 431,6 Juta*",Bensin,CVT,4,1498 cc,DOHC,PGM-FI,171 hp,220 Nm
honda,civic-hatchback-rs,1-5l,Variable Speed,Rp 499 Juta*,Bensin,CVT,4,1498 cc,DOHC,PGM-FI,171 hp,220 Nm
honda,civic-type-r,6-speed-mt,6-Speed,"Rp 1,07 Milyar*",Bensin,Manual,4,1996 cc,DOHC,PGM-FI,306 hp,400 Nm
honda,cr-v,1-5l-turbo,Variable Speed,"Rp 502,6 Juta*",Bensin,CVT,4,1498 cc,DOHC,PGM-FI,187 hp,240 Nm
honda,cr-v,1-5l-turbo-prestige,Variable Speed,"Rp 543,7 Juta*",Bensin,CVT,4,1498 cc,DOHC,PGM-FI,187 hp,240 Nm
honda,cr-v,2-0l,Variable Speed,"Rp 467,9 Juta*",Bensin,CVT,4,1997 cc,SOHC,PGM-FI,153 hp,189 Nm
honda,hr-v,1-5l-e-cvt,Variable Speed,"Rp 335,9 Juta*",Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,hr-v,1-5l-e-cvt-special-edition,Variable Speed,"Rp 353,1 Juta*",Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,hr-v,1-5l-s,6-Speed,"Rp 301,6 Juta*",Bensin,Manual,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,hr-v,1-5l-s-cvt,Variable Speed,"Rp 311,8 Juta*",Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,hr-v,1-8l-prestige,Variable Speed,"Rp 420,8 Juta*",Bensin,CVT,4,1799 cc,SOHC,PGM-FI,137 hp,169 Nm
honda,jazz,cvt,Variable Speed,"Rp 262,9 Juta*",Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,jazz,mt,5-Speed,"Rp 252,5 Juta*",Bensin,Manual,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,jazz,rs-cvt,Variable Speed,Rp 295 Juta*,Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,jazz,rs-mt,5-Speed,"Rp 284,7 Juta*",Bensin,Manual,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,mobilio,e-cvt,Variable Speed,"Rp 238,1 Juta*",Bensin,CVT,4,1496 cc,SOHC,PGM-FI,116 hp,145 Nm
honda,mobilio,e-mt,5-Speed,"Rp 226,6 Juta*",Bensin,Manual,4,1496 cc,SOHC,PGM-FI,116 hp,145 Nm
honda,mobilio,rs-cvt,Variable Speed,"Rp 261,4 Juta*",Bensin,CVT,4,1496 cc,SOHC,PGM-FI,116 hp,145 Nm
honda,mobilio,rs-mt,5-Speed,"Rp 250,5 Juta*",Bensin,Manual,4,1496 cc,SOHC,PGM-FI,116 hp,145 Nm
honda,mobilio,s-mt,5-Speed,"Rp 205,5 Juta*",Bensin,Manual,4,1496 cc,SOHC,PGM-FI,116 hp,145 Nm
honda,odyssey,2-4l,Variable Speed,"Rp 780,7 Juta*",Bensin,CVT,4,2356 cc,DOHC,PGM-FI,173 hp,225 Nm
toyota,86,at,5-Speed,Rp 168 Juta*,Bensin,Otomatis,4,1597 cc,DOHC,MPFI,110 hp,148 Nm
toyota,86,mt,4-Speed,"Rp 816,95 Juta*",Bensin,Manual,4,1597 cc,DOHC,MPFI,110 hp,148 Nm
toyota,86,trd-at,6-Speed,Rp 178 Juta*,Bensin,Otomatis,4,1998 cc,DOHC,Direct Injection,197 hp,205 Nm
toyota,agya,1-0l-g-at,4-Speed,"Rp 156,81 Juta*",Bensin,Otomatis,3,998 cc,DOHC,EFI,66 hp,89 Nm
toyota,agya,1-0l-g-mt,5-Speed,"Rp 143,8 Juta*",Bensin,Manual,3,998 cc,DOHC,EFI,66 hp,89 Nm
toyota,agya,1-2l-g-at,4-Speed,"Rp 161,64 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
toyota,agya,1-2l-g-mt,5-Speed,"Rp 148,1 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
toyota,agya,1-2l-g-mt-trd,5-Speed,"Rp 153,44 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
toyota,agya,1-2l-trd-at,4-Speed,"Rp 169,29 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
toyota,alphard,2-5-g-at,Variable Speed,"Rp 2,18 Milyar*",Bensin,CVT,4,2494 cc,DOHC,EFI,178 hp,234 Nm
toyota,alphard,2-5-x-at,Variable Speed,"Rp 1,18 Milyar*",Bensin,CVT,4,2494 cc,DOHC,EFI,178 hp,234 Nm
toyota,alphard,3-5-q-at,8-Speed,"Rp 2,52 Milyar*",Bensin,Otomatis,6,3456 cc,DOHC,EFI,296 hp,360 Nm
toyota,avanza,1-3e-at,4-Speed,"Rp 228,7 Juta*",Bensin,Otomatis,4,1329 cc,DOHC,EFI,91 hp,120 Nm
toyota,avanza,1-3e-mt,5-Speed,"Rp 230,3 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,91 hp,120 Nm
toyota,avanza,1-3g-at,4-Speed,Rp 218 Juta*,Bensin,Otomatis,4,1329 cc,DOHC,EFI,91 hp,120 Nm
toyota,avanza,1-3g-mt,5-Speed,"Rp 200,15 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,91 hp,120 Nm
toyota,avanza,1-5g-mt,5-Speed,"Rp 211,35 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
toyota,avanza-veloz,1-3-at,4-Speed,"Rp 248,5 Juta*",Bensin,Otomatis,4,1329 cc,DOHC,EFI,95 hp,121 Nm
toyota,avanza-veloz,1-3-mt,5-Speed,"Rp 224,7 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,95 hp,121 Nm
toyota,avanza-veloz,1-5-at,4-Speed,"Rp 236,7 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,EFI,103 hp,136 Nm
toyota,avanza-veloz,1-5-mt,5-Speed,"Rp 236,5 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
toyota,c-hr,1-8l-cvt,7-Speed,"Rp 835,1 Juta*",Bensin,CVT,4,1798 cc,DOHC,Fuel Injection,139 hp,171 Nm
toyota,c-hr-hybrid,1-8l,7-Speed,"Rp 544,29 Juta*",Bensin,CVT,4,1798 cc,DOHC,EFI,99 hp,142 Nm
toyota,calya,e-mt,5-Speed,"Rp 147,3 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
toyota,calya,g-at,4-Speed,"Rp 165,8 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
toyota,calya,g-mt,5-Speed,"Rp 153,6 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
toyota,camry,2-5-g,6-Speed,"Rp 641,85 Juta*",Bensin,Otomatis,4,2494 cc,DOHC,EFI,180 hp,239 Nm
toyota,camry,2-5-v,6-Speed,"Rp 675,15 Juta*",Bensin,Otomatis,4,2494 cc,DOHC,EFI,180 hp,239 Nm
toyota,camry-hybrid,2-5-hv,Variable Speed,"Rp 440,15 Juta*",Bensin,CVT,4,2487 cc,DOHC,EFI,176 hp,221 Nm
toyota,corolla-altis,g-at,7-Speed,"Rp 537,5 Juta*",Bensin,CVT,4,1798 cc,DOHC,EFI,138 hp,177 Nm
toyota,corolla-altis,hybrid-at,Variable Speed,"Rp 501,75 Juta*",Bensin,CVT,4,1798 cc,DOHC,EFI,96 hp,142 Nm
toyota,corolla-altis,v-at,7-Speed,"Rp 501,25 Juta*",Bensin,CVT,4,1798 cc,DOHC,EFI,138 hp,177 Nm
toyota,fortuner,2-4-g-at,6-Speed,"Rp 541,55 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,fortuner,2-4-g-at-4x4,6-Speed,"Rp 580,25 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,fortuner,2-4-g-mt,6-Speed,"Rp 510,95 Juta*",Diesel,Manual,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,fortuner,2-4-trd-at,6-Speed,"Rp 566,95 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,fortuner,2-4-vrz-at,6-Speed,"Rp 554,85 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,fortuner,2-4-vrz-at-4x4,6-Speed,"Rp 492,95 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,fortuner,2-7-srz-at,6-Speed,"Rp 685,05 Juta*",Bensin,Otomatis,4,2694 cc,DOHC,EFI,160 hp,242 Nm
toyota,fortuner,2-7-trd-at,6-Speed,"Rp 613,45 Juta*",Bensin,Otomatis,4,2694 cc,DOHC,CRDi,160 hp,242 Nm
toyota,hiace,commuter-manual,5-Speed,"Rp 343,65 Juta*",Diesel,Manual,4,2494 cc,DOHC,CRDi,101 hp,260 Nm
toyota,hiace,commuter-manualluxury,5-Speed,"Rp 509,05 Juta*",Diesel,Manual,4,2494 cc,DOHC,CRDi,101 hp,260 Nm
toyota,hiace,premio,6-Speed,"Rp 321,75 Juta*",Diesel,Manual,4,2755 cc,DOHC,CRDi,154 hp,420 Nm
toyota,hiace,std-manual,5-Speed,"Rp 327,55 Juta*",Diesel,Manual,4,2494 cc,DOHC,CRDi,101 hp,260 Nm
toyota,hilux,2-0l-single-cab,5-Speed,"Rp 231,55 Juta*",Bensin,Manual,4,1998 cc,DOHC,EFI,137 hp,183 Nm
toyota,hilux,2-4l-d-cab-e-mt,6-Speed,"Rp 426,5 Juta*",Diesel,Manual,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,hilux,2-4l-d-cab-g-mt,6-Speed,"Rp 447,5 Juta*",Diesel,Manual,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,hilux,2-4l-d-cab-v-at,6-Speed,"Rp 485,6 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,148 hp,400 Nm
toyota,kijang-innova,g-at-diesel,6-Speed,"Rp 377,45 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,147 hp,360 Nm
toyota,kijang-innova,g-at-gasoline,6-Speed,"Rp 346,25 Juta*",Bensin,Otomatis,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,kijang-innova,g-mt-diesel,5-Speed,"Rp 355,95 Juta*",Diesel,Manual,4,2393 cc,DOHC,CRDi,147 hp,342 Nm
toyota,kijang-innova,g-mt-gasoline,5-Speed,"Rp 326,05 Juta*",Bensin,Manual,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,kijang-innova,q-at-gasoline,6-Speed,"Rp 428,2 Juta*",Bensin,Otomatis,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,kijang-innova,q-mt-gasoline,5-Speed,"Rp 407,9 Juta*",Bensin,Manual,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,kijang-innova,v-at-diesel,6-Speed,"Rp 428,75 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,147 hp,360 Nm
toyota,kijang-innova,v-at-gasoline,6-Speed,"Rp 394,85 Juta*",Bensin,Otomatis,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,kijang-innova,v-mt-diesel,5-Speed,"Rp 408,75 Juta*",Diesel,Manual,4,2393 cc,DOHC,CRDi,147 hp,342 Nm
toyota,kijang-innova,v-mt-gasoline,5-Speed,"Rp 375,05 Juta*",Bensin,Manual,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,land-cruiser,vx-grade,6-Speed,"Rp 1,95 Milyar*",Diesel,Otomatis,8,4461 cc,DOHC,CRDi,232 hp,616 Nm
toyota,land-cruiser,vx-r,6-Speed,"Rp 1,03 Milyar*",Diesel,Otomatis,8,4461 cc,DOHC,CRDi,232 hp,616 Nm
toyota,prius-phev,1-8l,Variable Speed,"Rp 1,18 Milyar*",Bensin,E-CVT,4,1798 cc,DOHC,MPFI,97 hp,142 Nm
toyota,rush,g-at,4-Speed,"Rp 265,15 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,EFI,103 hp,136 Nm
toyota,rush,g-mt,5-Speed,"Rp 255,15 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
toyota,rush,trd-sportivo-at,4-Speed,"Rp 276,55 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,EFI,103 hp,136 Nm
toyota,rush,trd-sportivo-mt,5-Speed,"Rp 266,55 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
toyota,sienta,g-cvt,Variable Speed,"Rp 275,75 Juta*",Bensin,CVT,4,1496 cc,DOHC,MPFI,109 hp,143 Nm
toyota,sienta,g-mt,5-Speed,"Rp 257,75 Juta*",Bensin,Manual,4,1496 cc,DOHC,MPFI,109 hp,143 Nm
toyota,sienta,q-cvt,Variable Speed,"Rp 311,55 Juta*",Bensin,CVT,4,1496 cc,DOHC,MPFI,109 hp,143 Nm
toyota,sienta,v-cvt,Variable Speed,"Rp 290,75 Juta*",Bensin,CVT,4,1496 cc,DOHC,MPFI,109 hp,143 Nm
toyota,sienta,v-mt,5-Speed,"Rp 272,75 Juta*",Bensin,Manual,4,1496 cc,DOHC,MPFI,109 hp,143 Nm
toyota,supra,3-0l,8-Speed,"Rp 678,05 Juta*",Bensin,Otomatis,6,2998 cc,DOHC,Direct Injection,335 hp,495 Nm
toyota,vellfire,2-5-g-at,Variable Speed,Rp 884 Juta*,Bensin,CVT,4,2494 cc,DOHC,EFI,178 hp,234 Nm
toyota,venturer,2-0-at,5-Speed,"Rp 443,6 Juta*",Bensin,Otomatis,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,venturer,2-0-mt,6-Speed,"Rp 423,3 Juta*",Bensin,Manual,4,1998 cc,DOHC,EFI,137 hp,190 Nm
toyota,venturer,2-4-at,5-Speed,"Rp 482,6 Juta*",Diesel,Otomatis,4,2393 cc,DOHC,CRDi,147 hp,360 Nm
toyota,venturer,2-4-mt,6-Speed,Rp 461 Juta*,Diesel,Manual,4,2393 cc,DOHC,CRDi,147 hp,342 Nm
toyota,vios,e-cvt,7-Speed,"Rp 486,5 Juta*",Bensin,CVT,4,1496 cc,DOHC,Fuel Injection,106 hp,140 Nm
toyota,vios,g-cvt,7-Speed,"Rp 508,1 Juta*",Bensin,CVT,4,1496 cc,DOHC,Fuel Injection,106 hp,140 Nm
toyota,vios,g-mt,5-Speed,"Rp 586,2 Juta*",Bensin,Manual,4,1496 cc,DOHC,Fuel Injection,106 hp,140 Nm
toyota,voxy,cvt,Variable Speed,"Rp 2,15 Milyar*",Bensin,CVT,4,1987 cc,DOHC,EFI,150 hp,193 Nm
toyota,yaris,g-grade-cvt,7-Speed,"Rp 270,25 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,Fuel Injection,106 hp,140 Nm
toyota,yaris,g-grade-mt,5-Speed,"Rp 259,25 Juta*",Bensin,Manual,4,1496 cc,DOHC,Fuel Injection,106 hp,140 Nm
toyota,yaris,trd-sportivo-cvt,7-Speed,"Rp 291,45 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,Fuel Injection,106 hp,140 Nm
toyota,yaris,trd-sportivo-mt,5-Speed,"Rp 279,65 Juta*",Bensin,Manual,4,1496 cc,DOHC,Fuel Injection,106 hp,140 Nm
