Merek,Model,Varian,Spesifikasi,Value,Tab
toyota,fortuner,2-4-g-at-4x4,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,fortuner,2-4-g-at-4x4,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,fortuner,2-4-trd-at,Kapasitas mesin,2393 cc,1.0
toyota,fortuner,2-4-trd-at,Tenaga,148 hp,1.0
toyota,fortuner,2-4-trd-at,Jenis Bahan Bakar,Diesel,1.0
toyota,fortuner,2-4-trd-at,Torsi,400 Nm,1.0
toyota,fortuner,2-4-trd-at,Girboks,6-Speed,4.0
toyota,fortuner,2-4-trd-at,Jenis Transmisi,Otomatis,4.0
toyota,fortuner,2-4-trd-at,Jenis penggerak,2WD,4.0
toyota,fortuner,2-4-trd-at,Jumlah Silinder,4,5.0
toyota,fortuner,2-4-trd-at,Katup per Silinder,4,5.0
toyota,fortuner,2-4-trd-at,Konfigurasi Katup,DOHC,5.0
toyota,fortuner,2-4-trd-at,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,fortuner,2-4-trd-at,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,kijang-innova,v-at-gasoline,Kapasitas mesin,1998 cc,1.0
toyota,kijang-innova,v-at-gasoline,Tenaga,137 hp,1.0
toyota,kijang-innova,v-at-gasoline,Konsumsi BBM Tol,12.7 kmpl,1.0
toyota,kijang-innova,v-at-gasoline,Torsi,190 Nm,1.0
toyota,kijang-innova,v-at-gasoline,Jenis Bahan Bakar,Bensin,1.0
toyota,kijang-innova,v-at-gasoline,Konsumsi BBM dalam kota (kmpl),8.6 kmpl,1.0
toyota,kijang-innova,v-at-gasoline,Girboks,6-Speed,4.0
toyota,kijang-innova,v-at-gasoline,Jenis Transmisi,Otomatis,4.0
toyota,kijang-innova,v-at-gasoline,Jenis penggerak,RWD,4.0
toyota,kijang-innova,v-at-gasoline,Jumlah Silinder,4,5.0
toyota,kijang-innova,v-at-gasoline,Katup per Silinder,4,5.0
toyota,kijang-innova,v-at-gasoline,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,v-at-gasoline,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,kijang-innova,v-mt-gasoline,Kapasitas mesin,1998 cc,1.0
toyota,kijang-innova,v-mt-gasoline,Tenaga,137 hp,1.0
toyota,kijang-innova,v-mt-gasoline,Konsumsi BBM dalam kota (kmpl),9.7 kmpl,1.0
toyota,kijang-innova,v-mt-gasoline,Torsi,190 Nm,1.0
toyota,kijang-innova,v-mt-gasoline,Jenis Bahan Bakar,Bensin,1.0
toyota,kijang-innova,v-mt-gasoline,Konsumsi BBM Tol,13.6 kmpl,1.0
toyota,kijang-innova,v-mt-gasoline,Girboks,5-Speed,4.0
toyota,kijang-innova,v-mt-gasoline,Jenis Transmisi,Manual,4.0
toyota,kijang-innova,v-mt-gasoline,Jenis penggerak,RWD,4.0
toyota,kijang-innova,v-mt-gasoline,Jumlah Silinder,4,5.0
toyota,kijang-innova,v-mt-gasoline,Katup per Silinder,4,5.0
toyota,kijang-innova,v-mt-gasoline,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,v-mt-gasoline,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,kijang-innova,g-at-gasoline,Kapasitas mesin,1998 cc,1.0
toyota,kijang-innova,g-at-gasoline,Tenaga,137 hp,1.0
toyota,kijang-innova,g-at-gasoline,Konsumsi BBM Tol,12.7 kmpl,1.0
toyota,kijang-innova,g-at-gasoline,Torsi,190 Nm,1.0
toyota,kijang-innova,g-at-gasoline,Jenis Bahan Bakar,Bensin,1.0
toyota,kijang-innova,g-at-gasoline,Konsumsi BBM dalam kota (kmpl),8.6 kmpl,1.0
toyota,kijang-innova,g-at-gasoline,Girboks,6-Speed,4.0
toyota,kijang-innova,g-at-gasoline,Jenis penggerak,RWD,4.0
toyota,kijang-innova,g-at-gasoline,Jenis Transmisi,Otomatis,4.0
toyota,kijang-innova,g-at-gasoline,Jumlah Silinder,4,5.0
toyota,kijang-innova,g-at-gasoline,Katup per Silinder,4,5.0
toyota,kijang-innova,g-at-gasoline,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,g-at-gasoline,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,kijang-innova,g-mt-gasoline,Kapasitas mesin,1998 cc,1.0
toyota,kijang-innova,g-mt-gasoline,Tenaga,137 hp,1.0
toyota,kijang-innova,g-mt-gasoline,Konsumsi BBM dalam kota (kmpl),9.7 kmpl,1.0
toyota,kijang-innova,g-mt-gasoline,Torsi,190 Nm,1.0
toyota,kijang-innova,g-mt-gasoline,Jenis Bahan Bakar,Bensin,1.0
toyota,kijang-innova,g-mt-gasoline,Konsumsi BBM Tol,13.6 kmpl,1.0
toyota,kijang-innova,g-mt-gasoline,Girboks,5-Speed,4.0
toyota,kijang-innova,g-mt-gasoline,Jenis Transmisi,Manual,4.0
toyota,kijang-innova,g-mt-gasoline,Jenis penggerak,RWD,4.0
toyota,kijang-innova,g-mt-gasoline,Jumlah Silinder,4,5.0
toyota,kijang-innova,g-mt-gasoline,Katup per Silinder,4,5.0
toyota,kijang-innova,g-mt-gasoline,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,g-mt-gasoline,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,kijang-innova,q-at-gasoline,Kapasitas mesin,1998 cc,1.0
toyota,kijang-innova,q-at-gasoline,Tenaga,137 hp,1.0
toyota,kijang-innova,q-at-gasoline,Konsumsi BBM Tol,12.7 kmpl,1.0
toyota,kijang-innova,q-at-gasoline,Torsi,190 Nm,1.0
toyota,kijang-innova,q-at-gasoline,Konsumsi BBM dalam kota (kmpl),8.6 kmpl,1.0
toyota,kijang-innova,q-at-gasoline,Jenis Bahan Bakar,Bensin,1.0
toyota,kijang-innova,q-at-gasoline,Girboks,6-Speed,4.0
toyota,kijang-innova,q-at-gasoline,Jenis Transmisi,Otomatis,4.0
toyota,kijang-innova,q-at-gasoline,Jenis penggerak,RWD,4.0
toyota,kijang-innova,q-at-gasoline,Jumlah Silinder,4,5.0
toyota,kijang-innova,q-at-gasoline,Katup per Silinder,4,5.0
toyota,kijang-innova,q-at-gasoline,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,q-at-gasoline,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,kijang-innova,q-mt-gasoline,Kapasitas mesin,1998 cc,1.0
toyota,kijang-innova,q-mt-gasoline,Tenaga,137 hp,1.0
toyota,kijang-innova,q-mt-gasoline,Konsumsi BBM dalam kota (kmpl),9.7 kmpl,1.0
toyota,kijang-innova,q-mt-gasoline,Torsi,190 Nm,1.0
toyota,kijang-innova,q-mt-gasoline,Konsumsi BBM Tol,13.6 kmpl,1.0
toyota,kijang-innova,q-mt-gasoline,Jenis Bahan Bakar,Bensin,1.0
toyota,kijang-innova,q-mt-gasoline,Girboks,5-Speed,4.0
toyota,kijang-innova,q-mt-gasoline,Jenis Transmisi,Manual,4.0
toyota,kijang-innova,q-mt-gasoline,Jenis penggerak,RWD,4.0
toyota,kijang-innova,q-mt-gasoline,Jumlah Silinder,4,5.0
toyota,kijang-innova,q-mt-gasoline,Katup per Silinder,4,5.0
toyota,kijang-innova,q-mt-gasoline,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,q-mt-gasoline,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,kijang-innova,v-at-diesel,Kapasitas mesin,2393 cc,1.0
toyota,kijang-innova,v-at-diesel,Tenaga,147 hp,1.0
toyota,kijang-innova,v-at-diesel,Torsi,360 Nm,1.0
toyota,kijang-innova,v-at-diesel,Konsumsi BBM dalam kota (kmpl),12.4 kmpl,1.0
toyota,kijang-innova,v-at-diesel,Jenis Bahan Bakar,Diesel,1.0
toyota,kijang-innova,v-at-diesel,Konsumsi BBM Tol,18.5 kmpl,1.0
toyota,kijang-innova,v-at-diesel,Girboks,6-Speed,4.0
toyota,kijang-innova,v-at-diesel,Jenis Transmisi,Otomatis,4.0
toyota,kijang-innova,v-at-diesel,Jenis penggerak,RWD,4.0
toyota,kijang-innova,v-at-diesel,Jumlah Silinder,4,5.0
toyota,kijang-innova,v-at-diesel,Katup per Silinder,4,5.0
toyota,kijang-innova,v-at-diesel,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,v-at-diesel,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,kijang-innova,v-mt-diesel,Kapasitas mesin,2393 cc,1.0
toyota,kijang-innova,v-mt-diesel,Tenaga,147 hp,1.0
toyota,kijang-innova,v-mt-diesel,Torsi,342 Nm,1.0
toyota,kijang-innova,v-mt-diesel,Konsumsi BBM Tol,18 kmpl,1.0
toyota,kijang-innova,v-mt-diesel,Jenis Bahan Bakar,Diesel,1.0
toyota,kijang-innova,v-mt-diesel,Konsumsi BBM dalam kota (kmpl),13 kmpl,1.0
toyota,kijang-innova,v-mt-diesel,Girboks,5-Speed,4.0
toyota,kijang-innova,v-mt-diesel,Jenis Transmisi,Manual,4.0
toyota,kijang-innova,v-mt-diesel,Jenis penggerak,RWD,4.0
toyota,kijang-innova,v-mt-diesel,Jumlah Silinder,4,5.0
toyota,kijang-innova,v-mt-diesel,Katup per Silinder,4,5.0
toyota,kijang-innova,v-mt-diesel,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,v-mt-diesel,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,kijang-innova,g-at-diesel,Kapasitas mesin,2393 cc,1.0
toyota,kijang-innova,g-at-diesel,Tenaga,147 hp,1.0
toyota,kijang-innova,g-at-diesel,Konsumsi BBM dalam kota (kmpl),12.4 kmpl,1.0
toyota,kijang-innova,g-at-diesel,Torsi,360 Nm,1.0
toyota,kijang-innova,g-at-diesel,Jenis Bahan Bakar,Diesel,1.0
toyota,kijang-innova,g-at-diesel,Konsumsi BBM Tol,18.5 kmpl,1.0
toyota,kijang-innova,g-at-diesel,Girboks,6-Speed,4.0
toyota,kijang-innova,g-at-diesel,Jenis penggerak,RWD,4.0
toyota,kijang-innova,g-at-diesel,Jenis Transmisi,Otomatis,4.0
toyota,kijang-innova,g-at-diesel,Jumlah Silinder,4,5.0
toyota,kijang-innova,g-at-diesel,Katup per Silinder,4,5.0
toyota,kijang-innova,g-at-diesel,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,g-at-diesel,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,kijang-innova,g-mt-diesel,Kapasitas mesin,2393 cc,1.0
toyota,kijang-innova,g-mt-diesel,Tenaga,147 hp,1.0
toyota,kijang-innova,g-mt-diesel,Torsi,342 Nm,1.0
toyota,kijang-innova,g-mt-diesel,Jenis Bahan Bakar,Diesel,1.0
toyota,kijang-innova,g-mt-diesel,Konsumsi BBM Tol,18 kmpl,1.0
toyota,kijang-innova,g-mt-diesel,Konsumsi BBM dalam kota (kmpl),13 kmpl,1.0
toyota,kijang-innova,g-mt-diesel,Girboks,5-Speed,4.0
toyota,kijang-innova,g-mt-diesel,Jenis Transmisi,Manual,4.0
toyota,kijang-innova,g-mt-diesel,Jenis penggerak,RWD,4.0
toyota,kijang-innova,g-mt-diesel,Jumlah Silinder,4,5.0
toyota,kijang-innova,g-mt-diesel,Katup per Silinder,4,5.0
toyota,kijang-innova,g-mt-diesel,Konfigurasi Katup,DOHC,5.0
toyota,kijang-innova,g-mt-diesel,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,rush,g-mt,Kapasitas mesin,1496 cc,1.0
toyota,rush,g-mt,Tenaga,103 hp,1.0
toyota,rush,g-mt,Jenis Bahan Bakar,Bensin,1.0
toyota,rush,g-mt,Torsi,136 Nm,1.0
toyota,rush,g-mt,Girboks,5-Speed,4.0
toyota,rush,g-mt,Jenis penggerak,FWD,4.0
toyota,rush,g-mt,Jenis Transmisi,Manual,4.0
toyota,rush,g-mt,Jumlah Silinder,4,5.0
toyota,rush,g-mt,Katup per Silinder,4,5.0
toyota,rush,g-mt,Konfigurasi Katup,DOHC,5.0
toyota,rush,g-mt,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,rush,g-mt,Mesin,"1.5L Petrol Engine, 4 Cylinder 16 Valve DOHC",5.0
toyota,rush,g-at,Kapasitas mesin,1496 cc,1.0
toyota,rush,g-at,Tenaga,103 hp,1.0
toyota,rush,g-at,Torsi,136 Nm,1.0
toyota,rush,g-at,Jenis Bahan Bakar,Bensin,1.0
toyota,rush,g-at,Girboks,4-Speed,4.0
toyota,rush,g-at,Jenis penggerak,FWD,4.0
toyota,rush,g-at,Jenis Transmisi,Otomatis,4.0
toyota,rush,g-at,Jumlah Silinder,4,5.0
toyota,rush,g-at,Katup per Silinder,4,5.0
toyota,rush,g-at,Konfigurasi Katup,DOHC,5.0
toyota,rush,g-at,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,rush,g-at,Mesin,"1.5L Petrol Engine, 4 Cylinder 16 Valve DOHC",5.0
toyota,rush,trd-sportivo-mt,Kapasitas mesin,1496 cc,1.0
toyota,rush,trd-sportivo-mt,Tenaga,103 hp,1.0
toyota,rush,trd-sportivo-mt,Torsi,136 Nm,1.0
toyota,rush,trd-sportivo-mt,Jenis Bahan Bakar,Bensin,1.0
toyota,rush,trd-sportivo-mt,Girboks,5-Speed,4.0
toyota,rush,trd-sportivo-mt,Jenis penggerak,FWD,4.0
toyota,rush,trd-sportivo-mt,Jenis Transmisi,Manual,4.0
toyota,rush,trd-sportivo-mt,Jumlah Silinder,4,5.0
toyota,rush,trd-sportivo-mt,Katup per Silinder,4,5.0
toyota,rush,trd-sportivo-mt,Konfigurasi Katup,DOHC,5.0
toyota,rush,trd-sportivo-mt,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,rush,trd-sportivo-mt,Mesin,"1.5L Petrol Engine, 4 Cylinder 16 Valve DOHC",5.0
toyota,rush,trd-sportivo-at,Kapasitas mesin,1496 cc,1.0
toyota,rush,trd-sportivo-at,Tenaga,103 hp,1.0
toyota,rush,trd-sportivo-at,Torsi,136 Nm,1.0
toyota,rush,trd-sportivo-at,Jenis Bahan Bakar,Bensin,1.0
toyota,rush,trd-sportivo-at,Girboks,4-Speed,4.0
toyota,rush,trd-sportivo-at,Jenis penggerak,FWD,4.0
toyota,rush,trd-sportivo-at,Jenis Transmisi,Otomatis,4.0
toyota,rush,trd-sportivo-at,Jumlah Silinder,4,5.0
toyota,rush,trd-sportivo-at,Katup per Silinder,4,5.0
toyota,rush,trd-sportivo-at,Konfigurasi Katup,DOHC,5.0
toyota,rush,trd-sportivo-at,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,rush,trd-sportivo-at,Mesin,"1.5L Petrol Engine, 4 Cylinder 16 Valve DOHC",5.0
toyota,agya,1-0l-g-mt,Kapasitas mesin,998 cc,1.0
toyota,agya,1-0l-g-mt,Tenaga,66 hp,1.0
toyota,agya,1-0l-g-mt,Torsi,89 Nm,1.0
toyota,agya,1-0l-g-mt,Jenis Bahan Bakar,Bensin,1.0
toyota,agya,1-0l-g-mt,Girboks,5-Speed,4.0
toyota,agya,1-0l-g-mt,Jenis Transmisi,Manual,4.0
toyota,agya,1-0l-g-mt,Jumlah Silinder,3,5.0
toyota,agya,1-0l-g-mt,Katup per Silinder,4,5.0
toyota,agya,1-0l-g-mt,Konfigurasi Katup,DOHC,5.0
toyota,agya,1-0l-g-mt,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,agya,1-0l-g-mt,Mesin,"1.0L Petrol Engine, Inline 3 Cylinder 12 Valve DOHC",5.0
toyota,agya,1-0l-g-at,Kapasitas mesin,998 cc,1.0
toyota,agya,1-0l-g-at,Tenaga,66 hp,1.0
toyota,agya,1-0l-g-at,Torsi,89 Nm,1.0
toyota,agya,1-0l-g-at,Jenis Bahan Bakar,Bensin,1.0
toyota,agya,1-0l-g-at,Girboks,4-Speed,4.0
toyota,agya,1-0l-g-at,Jenis Transmisi,Otomatis,4.0
toyota,agya,1-0l-g-at,Jumlah Silinder,3,5.0
toyota,agya,1-0l-g-at,Katup per Silinder,4,5.0
toyota,agya,1-0l-g-at,Konfigurasi Katup,DOHC,5.0
toyota,agya,1-0l-g-at,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,agya,1-0l-g-at,Mesin,"1.0L Petrol Engine, Inline 3 Cylinder 12 Valve DOHC",5.0
toyota,agya,1-2l-g-mt,Kapasitas mesin,1197 cc,1.0
toyota,agya,1-2l-g-mt,Tenaga,87 hp,1.0
toyota,agya,1-2l-g-mt,Jenis Bahan Bakar,Bensin,1.0
toyota,agya,1-2l-g-mt,Torsi,108 Nm,1.0
toyota,agya,1-2l-g-mt,Girboks,5-Speed,4.0
toyota,agya,1-2l-g-mt,Jenis Transmisi,Manual,4.0
toyota,agya,1-2l-g-mt,Jumlah Silinder,4,5.0
toyota,agya,1-2l-g-mt,Katup per Silinder,4,5.0
toyota,agya,1-2l-g-mt,Konfigurasi Katup,DOHC,5.0
toyota,agya,1-2l-g-mt,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,agya,1-2l-g-mt,Mesin,"1.2L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,agya,1-2l-g-at,Kapasitas mesin,1197 cc,1.0
toyota,agya,1-2l-g-at,Tenaga,87 hp,1.0
toyota,agya,1-2l-g-at,Torsi,108 Nm,1.0
toyota,agya,1-2l-g-at,Jenis Bahan Bakar,Bensin,1.0
toyota,agya,1-2l-g-at,Girboks,4-Speed,4.0
toyota,agya,1-2l-g-at,Jenis Transmisi,Otomatis,4.0
toyota,agya,1-2l-g-at,Jumlah Silinder,4,5.0
toyota,agya,1-2l-g-at,Katup per Silinder,4,5.0
toyota,agya,1-2l-g-at,Konfigurasi Katup,DOHC,5.0
toyota,agya,1-2l-g-at,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,agya,1-2l-g-at,Mesin,"1.2L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,agya,1-2l-g-mt-trd,Kapasitas mesin,1197 cc,1.0
toyota,agya,1-2l-g-mt-trd,Tenaga,87 hp,1.0
toyota,agya,1-2l-g-mt-trd,Jenis Bahan Bakar,Bensin,1.0
toyota,agya,1-2l-g-mt-trd,Torsi,108 Nm,1.0
toyota,agya,1-2l-g-mt-trd,Girboks,5-Speed,4.0
toyota,agya,1-2l-g-mt-trd,Jenis Transmisi,Manual,4.0
toyota,agya,1-2l-g-mt-trd,Jumlah Silinder,4,5.0
toyota,agya,1-2l-g-mt-trd,Katup per Silinder,4,5.0
toyota,agya,1-2l-g-mt-trd,Konfigurasi Katup,DOHC,5.0
toyota,agya,1-2l-g-mt-trd,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,agya,1-2l-g-mt-trd,Mesin,"1.2L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,agya,1-2l-trd-at,Kapasitas mesin,1197 cc,1.0
toyota,agya,1-2l-trd-at,Tenaga,87 hp,1.0
toyota,agya,1-2l-trd-at,Torsi,108 Nm,1.0
toyota,agya,1-2l-trd-at,Jenis Bahan Bakar,Bensin,1.0
toyota,agya,1-2l-trd-at,Girboks,4-Speed,4.0
toyota,agya,1-2l-trd-at,Jenis Transmisi,Otomatis,4.0
toyota,agya,1-2l-trd-at,Jumlah Silinder,4,5.0
toyota,agya,1-2l-trd-at,Katup per Silinder,4,5.0
toyota,agya,1-2l-trd-at,Konfigurasi Katup,DOHC,5.0
toyota,agya,1-2l-trd-at,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,agya,1-2l-trd-at,Mesin,"1.2L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,avanza,1-3g-at,Kapasitas mesin,1329 cc,1.0
toyota,avanza,1-3g-at,Tenaga,91 hp,1.0
toyota,avanza,1-3g-at,Jenis Bahan Bakar,Bensin,1.0
toyota,avanza,1-3g-at,Torsi,120 Nm,1.0
toyota,avanza,1-3g-at,Konsumsi BBM dalam kota (kmpl),14.8 kmpl,1.0
toyota,avanza,1-3g-at,Girboks,4-Speed,4.0
toyota,avanza,1-3g-at,Jenis Transmisi,Otomatis,4.0
toyota,avanza,1-3g-at,Jumlah Silinder,4,5.0
toyota,avanza,1-3g-at,Katup per Silinder,4,5.0
toyota,avanza,1-3g-at,Konfigurasi Katup,DOHC,5.0
toyota,avanza,1-3g-at,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,avanza,1-3g-at,Mesin,"1.3 L Petrol Engine, 4 Cylinder 16 Valve, Dual VVT-i",5.0
toyota,avanza,1-3e-mt,Kapasitas mesin,1329 cc,1.0
toyota,avanza,1-3e-mt,Tenaga,91 hp,1.0
toyota,avanza,1-3e-mt,Torsi,120 Nm,1.0
toyota,avanza,1-3e-mt,Konsumsi BBM dalam kota (kmpl),14.8 kmpl,1.0
toyota,avanza,1-3e-mt,Jenis Bahan Bakar,Bensin,1.0
toyota,avanza,1-3e-mt,Girboks,5-Speed,4.0
toyota,avanza,1-3e-mt,Jenis Transmisi,Manual,4.0
toyota,avanza,1-3e-mt,Jumlah Silinder,4,5.0
toyota,avanza,1-3e-mt,Katup per Silinder,4,5.0
toyota,avanza,1-3e-mt,Konfigurasi Katup,DOHC,5.0
toyota,avanza,1-3e-mt,Sistem Suplai Bahan Bakar,EFI,5.0
toyota,avanza,1-3e-mt,Mesin,"1.3 L Petrol Engine, 4 Cylinder 16 Valve, Dual VVT-i",5.0
